epochs, batch_size, lr, loss, acc
4, 32, 1e-05, 2.156400239084199, 0.33602887426900585
4, 32, 0.0005, 0.43471322454817113, 0.8685767273121074
4, 32, 0.0001, 1.1986695138508814, 0.7105313921377517
4, 32, 0.005, 0.455375300077667, 0.865698437838423
4, 32, 0.001, 0.41791591309664544, 0.8770170023824995
4, 32, 0.05, 8.31900249116602, 0.5708928958197963
4, 32, 0.01, 0.5310721663180847, 0.835258961446827
4, 32, 0.5, 39000.83846742508, 0.6386519926359108
4, 32, 0.1, 131.12288400025395, 0.5915925519818063
4, 64, 1e-05, 2.2240213455512508, 0.23114128010704726
4, 64, 0.0005, 0.5634061985197123, 0.846801745713153
4, 64, 0.0001, 1.59409729360837, 0.5286860999603529
4, 64, 0.005, 0.5036537696046438, 0.8490024717514125
4, 64, 0.001, 0.42563135900169785, 0.8712706908514223
4, 64, 0.05, 7.057001668110229, 0.6220218183169789
4, 64, 0.01, 0.5015131155388396, 0.8511915824164933
4, 64, 0.5, 61742.47061175073, 0.6348568056794529
4, 64, 0.1, 91.89768797612328, 0.5672189389434037
4, 128, 1e-05, 2.2863146659226445, 0.11817367351305093
4, 128, 0.0005, 1.0435336580750538, 0.7384586126563021
4, 128, 0.0001, 1.9157156567824514, 0.47828895366804547
4, 128, 0.005, 0.46877970001850905, 0.8658506870156422
4, 128, 0.001, 0.5326377850526954, 0.8472953959254506
4, 128, 0.05, 8.265024306481344, 0.6674013752198925
4, 128, 0.01, 0.5636934772220968, 0.8361280487804877
4, 128, 0.5, 71640.09984923246, 0.42984201908905056
4, 128, 0.1, 169.31268178928664, 0.5488837481576571
4, 256, 1e-05, 2.303184213309452, 0.12349568673488459
4, 256, 0.0005, 1.4509212669284863, 0.5845489031398935
4, 256, 0.0001, 2.0709092014137354, 0.3458675737080647
4, 256, 0.005, 0.5060998112305828, 0.85165667928231
4, 256, 0.001, 1.0603659940862107, 0.7017513696149892
4, 256, 0.05, 26.08209836894068, 0.5667154354733203
4, 256, 0.01, 0.5600408767831736, 0.8416974026960097
4, 256, 0.5, 247833.75969827586, 0.17271531282123165
4, 256, 0.1, 295.54330619724317, 0.48355512919353333
6, 32, 1e-05, 2.1702069992210435, 0.3165830761316873
6, 32, 0.0005, 0.44531645483135823, 0.8704617446393762
6, 32, 0.0001, 1.3976655367173647, 0.6541703893220706
6, 32, 0.005, 0.4733329199646649, 0.8654158544509422
6, 32, 0.001, 0.4407377062223808, 0.8737816764132553
6, 32, 0.05, 3.325717045767614, 0.7052926007147499
6, 32, 0.01, 0.5262053753984602, 0.8338595814381633
6, 32, 0.5, 36880.23716619837, 0.7050489359974009
6, 32, 0.1, 105.60594776081064, 0.5771368042018628
6, 64, 1e-05, 2.2209254552049242, 0.2592768113787293
6, 64, 0.0005, 0.5445983537979293, 0.8391642506690457
6, 64, 0.0001, 1.581829150866347, 0.5719340060957477
6, 64, 0.005, 0.4306135356687663, 0.8792589701655268
6, 64, 0.001, 0.4198991708152475, 0.8751432562692041
6, 64, 0.05, 7.406108854458346, 0.6854355610070373
6, 64, 0.01, 0.5566029960823339, 0.8355433516701357
6, 64, 0.5, 69304.64594184028, 0.5170049063336307
6, 64, 0.1, 102.01935702876041, 0.6015733410149667
6, 128, 1e-05, 2.267131604646382, 0.18558894059335332
6, 128, 0.0005, 1.0000146278860973, 0.7222508231113013
6, 128, 0.0001, 1.9460718771170455, 0.4091346039556887
6, 128, 0.005, 0.4544662594446662, 0.8665809382874531
6, 128, 0.001, 0.562059118559486, 0.8297749370037559
6, 128, 0.05, 31.583925219307172, 0.4744493771692104
